posted_date,job_title,skill_name,job_link
Tayang 6 hari yang lalu,Backend Developer (Node.js),PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),NestJS,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),Express.js,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),MongoDB,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),Docker,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),Node.js,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 28 hari yang lalu,[INTERN] Backend Developer,Git,https://glints.com/id/opportunities/jobs/intern-backend-developer/c54071f8-2091-4846-b6f9-fa0b89b4a8e8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 28 hari yang lalu,[INTERN] Backend Developer,PostgreSQL,https://glints.com/id/opportunities/jobs/intern-backend-developer/c54071f8-2091-4846-b6f9-fa0b89b4a8e8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 28 hari yang lalu,[INTERN] Backend Developer,MongoDB,https://glints.com/id/opportunities/jobs/intern-backend-developer/c54071f8-2091-4846-b6f9-fa0b89b4a8e8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 19 hari yang lalu,BACKEND DEVELOPER MAINTENANCE,Grafana,https://glints.com/id/opportunities/jobs/backend-developer-maintenance/96e69e4f-f6fc-47f0-a0c4-e96797658ec6?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
